Date,Month,Quarter,Year,Period
06-01-17,6,Q2 2017,2017,201706
06-02-17,6,Q2 2017,2017,201706
06-03-17,6,Q2 2017,2017,201706
06-04-17,6,Q2 2017,2017,201706
06-05-17,6,Q2 2017,2017,201706
06-06-17,6,Q2 2017,2017,201706
06-07-17,6,Q2 2017,2017,201706
06-08-17,6,Q2 2017,2017,201706
06-09-17,6,Q2 2017,2017,201706
06-10-17,6,Q2 2017,2017,201706
06-11-17,6,Q2 2017,2017,201706
06-12-17,6,Q2 2017,2017,201706
06-13-17,6,Q2 2017,2017,201706
06-14-17,6,Q2 2017,2017,201706
06-15-17,6,Q2 2017,2017,201706
06-16-17,6,Q2 2017,2017,201706
06-17-17,6,Q2 2017,2017,201706
06-18-17,6,Q2 2017,2017,201706
06-19-17,6,Q2 2017,2017,201706
06-20-17,6,Q2 2017,2017,201706
06-21-17,6,Q2 2017,2017,201706
06-22-17,6,Q2 2017,2017,201706
06-23-17,6,Q2 2017,2017,201706
06-24-17,6,Q2 2017,2017,201706
06-25-17,6,Q2 2017,2017,201706
06-26-17,6,Q2 2017,2017,201706
06-27-17,6,Q2 2017,2017,201706
06-28-17,6,Q2 2017,2017,201706
06-29-17,6,Q2 2017,2017,201706
06-30-17,6,Q2 2017,2017,201706
07-01-17,7,Q3 2017,2017,201707
07-02-17,7,Q3 2017,2017,201707
07-03-17,7,Q3 2017,2017,201707
07-04-17,7,Q3 2017,2017,201707
07-05-17,7,Q3 2017,2017,201707
07-06-17,7,Q3 2017,2017,201707
07-07-17,7,Q3 2017,2017,201707
07-08-17,7,Q3 2017,2017,201707
07-09-17,7,Q3 2017,2017,201707
07-10-17,7,Q3 2017,2017,201707
07-11-17,7,Q3 2017,2017,201707
07-12-17,7,Q3 2017,2017,201707
07-13-17,7,Q3 2017,2017,201707
07-14-17,7,Q3 2017,2017,201707
07-15-17,7,Q3 2017,2017,201707
07-16-17,7,Q3 2017,2017,201707
07-17-17,7,Q3 2017,2017,201707
07-18-17,7,Q3 2017,2017,201707
07-19-17,7,Q3 2017,2017,201707
07-20-17,7,Q3 2017,2017,201707
07-21-17,7,Q3 2017,2017,201707
07-22-17,7,Q3 2017,2017,201707
07-23-17,7,Q3 2017,2017,201707
07-24-17,7,Q3 2017,2017,201707
07-25-17,7,Q3 2017,2017,201707
07-26-17,7,Q3 2017,2017,201707
07-27-17,7,Q3 2017,2017,201707
07-28-17,7,Q3 2017,2017,201707
07-29-17,7,Q3 2017,2017,201707
07-30-17,7,Q3 2017,2017,201707
07-31-17,7,Q3 2017,2017,201707
08-01-17,8,Q3 2017,2017,201708
08-02-17,8,Q3 2017,2017,201708
08-03-17,8,Q3 2017,2017,201708
08-04-17,8,Q3 2017,2017,201708
08-05-17,8,Q3 2017,2017,201708
08-06-17,8,Q3 2017,2017,201708
08-07-17,8,Q3 2017,2017,201708
08-08-17,8,Q3 2017,2017,201708
08-09-17,8,Q3 2017,2017,201708
08-10-17,8,Q3 2017,2017,201708
08-11-17,8,Q3 2017,2017,201708
08-12-17,8,Q3 2017,2017,201708
08-13-17,8,Q3 2017,2017,201708
08-14-17,8,Q3 2017,2017,201708
08-15-17,8,Q3 2017,2017,201708
08-16-17,8,Q3 2017,2017,201708
08-17-17,8,Q3 2017,2017,201708
08-18-17,8,Q3 2017,2017,201708
08-19-17,8,Q3 2017,2017,201708
08-20-17,8,Q3 2017,2017,201708
08-21-17,8,Q3 2017,2017,201708
08-22-17,8,Q3 2017,2017,201708
08-23-17,8,Q3 2017,2017,201708
08-24-17,8,Q3 2017,2017,201708
08-25-17,8,Q3 2017,2017,201708
08-26-17,8,Q3 2017,2017,201708
08-27-17,8,Q3 2017,2017,201708
08-28-17,8,Q3 2017,2017,201708
08-29-17,8,Q3 2017,2017,201708
08-30-17,8,Q3 2017,2017,201708
08-31-17,8,Q3 2017,2017,201708
09-01-17,9,Q3 2017,2017,201709
09-02-17,9,Q3 2017,2017,201709
09-03-17,9,Q3 2017,2017,201709
09-04-17,9,Q3 2017,2017,201709
09-05-17,9,Q3 2017,2017,201709
09-06-17,9,Q3 2017,2017,201709
09-07-17,9,Q3 2017,2017,201709
09-08-17,9,Q3 2017,2017,201709
09-09-17,9,Q3 2017,2017,201709
09-10-17,9,Q3 2017,2017,201709
09-11-17,9,Q3 2017,2017,201709
09-12-17,9,Q3 2017,2017,201709
09-13-17,9,Q3 2017,2017,201709
09-14-17,9,Q3 2017,2017,201709
09-15-17,9,Q3 2017,2017,201709
09-16-17,9,Q3 2017,2017,201709
09-17-17,9,Q3 2017,2017,201709
09-18-17,9,Q3 2017,2017,201709
09-19-17,9,Q3 2017,2017,201709
09-20-17,9,Q3 2017,2017,201709
09-21-17,9,Q3 2017,2017,201709
09-22-17,9,Q3 2017,2017,201709
09-23-17,9,Q3 2017,2017,201709
09-24-17,9,Q3 2017,2017,201709
09-25-17,9,Q3 2017,2017,201709
09-26-17,9,Q3 2017,2017,201709
09-27-17,9,Q3 2017,2017,201709
09-28-17,9,Q3 2017,2017,201709
09-29-17,9,Q3 2017,2017,201709
09-30-17,9,Q3 2017,2017,201709
10-01-17,10,Q4 2017,2017,201710
10-02-17,10,Q4 2017,2017,201710
10-03-17,10,Q4 2017,2017,201710
10-04-17,10,Q4 2017,2017,201710
10-05-17,10,Q4 2017,2017,201710
10-06-17,10,Q4 2017,2017,201710
10-07-17,10,Q4 2017,2017,201710
10-08-17,10,Q4 2017,2017,201710
10-09-17,10,Q4 2017,2017,201710
10-10-17,10,Q4 2017,2017,201710
10-11-17,10,Q4 2017,2017,201710
10-12-17,10,Q4 2017,2017,201710
10-13-17,10,Q4 2017,2017,201710
10-14-17,10,Q4 2017,2017,201710
